ID,space_alias_name,space_type,space_category,department_occupied
458,Phlebotomy,Specialist Area,Academic - Faculty,Biosciences
459,Mezzanine A,Library,Support,Library
460,FM Office,Office,Support,Facilities Operations
461,Office 4,Office,Academic - Faculty,Drama
462,Lab - Kiln,Specialist Area,Academic - Faculty,Archaeology
463,Upper Sports Hall,Leisure Facilities,Support,Sports Operations
464,Technician,Office,Academic - Faculty,Biosciences
465,Exeter Centre for Cytomics,Specialist Area,Academic - Faculty,Biosciences
466,Common Room,Social Space,Academic - Faculty,School of Education
467,Office 15,Office,Academic - Faculty,Drama
468,CHERC Foyer,Social Space,Academic - Faculty,Sport and Health Sciences
469,GENERAL BROWSING,Library,Support,Library
470,EMPS Office,Office,Academic - Faculty,Engineering
471,Molecular Biology / Research Laboratory,Specialist Area,Academic - Faculty,Biosciences
472,MAIN PLAY AREA,Leisure Facilities,Support,Sports Operations
473,Photocopier room,Office,Academic - Faculty,School of Education
474,Reception Desk,Office,Support,Event Operations
475,Estate Patrol Control Room,Office,Support,Security
476,Office,Office,Academic - Faculty,Physics and Astronomy
477,Specimen Prep Room,Specialist Area,Academic - Faculty,Engineering
478,Infrastructure Team,Office,Support,IT Services
479,Office,Library,Support,Library
480,Dielectric Materials Lab,Specialist Area,Academic - Faculty,Engineering
481,RECORD ROOM,Library,Support,Library
482,Consultation Room 1,Library,Support,Library
483,Data Centre - Main Computer Room,Other Space,Support,IT Services
484,V-Sim Chamber,Specialist Area,Academic - Faculty,Engineering
485,Kitchen,Other Space,Academic - Faculty,Institute of Arab and Islamic Studies
486,Transmission Electron Microscope,Specialist Area,Academic - Faculty,Biosciences
487,Moot Court Room,Seminar Room,Academic - Faculty,Law School
488,Teaching Lab,Laboratory,Academic - Faculty,School of Education
489,FEMALE ABLUTIONS,Leisure Facilities,Support,Sports Operations
490,Zebrafish Laboratory,Specialist Area,Academic - Faculty,Biosciences
491,Office 2,Office,Academic - Faculty,Drama
492,Controlled Temperature Room,Office,Academic - Faculty,Biosciences
493,Lobby 3,Laboratory,Academic - Faculty,Biosciences
494,Surveyors Lab,Office,Academic - Faculty,Archaeology
495,Academic Office,Office,Academic - Faculty,English and Creative Writing
496,Team Change 3,Leisure Facilities,Support,Sports Operations
497,Staff Office,Office,Academic - Faculty,Politics
498,LSI Technical Services Office,Office,Academic - Faculty,Biosciences
499,Study Zone,Other Space,Support,Library
500,PGR Office,Office,Academic - Faculty,Sport and Health Sciences
501,Cricket Centre reception,Leisure Facilities,Support,Sports Operations
502,IT Storage,Storage Space,Academic - Faculty,Physics and Astronomy
503,Bookable Office,Office,Academic - Faculty,Computer Science
504,Aerodynamics Teaching Laboratory,Specialist Area,Academic - Faculty,Engineering
505,Holding Store,Storage Space,Academic - Faculty,Sport and Health Sciences
506,Store,Workshops,Support,Engineering and Maintenance
507,Zebra Fish Microscope Suite,Specialist Area,Academic - Faculty,Biosciences
508,Dark Room,Specialist Area,Academic - Faculty,Psychology
509,Technical Service Office 2C,Office,Academic - Faculty,Biosciences
510,Sports office (+ one GED staff member),Leisure Facilities,Support,Sports Operations
511,Student interview room,Meeting Room,Academic - Faculty,Psychology
512,Dark Room,Specialist Area,Academic - Faculty,Biosciences
513,PGR/Post Doc office,Office,Academic - Faculty,Biosciences
514,"Comms ""DH2""",Other Space,Support,IT Services
515,Data Room,Other Space,Support,IT Services
516,Microscopy suite confocal,Specialist Area,Academic - Faculty,Biosciences
517,PERIODICALS OFFICE,Library,Support,Library
518,Server comms,Other Space,Support,IT Services
519,Research Room,Specialist Area,Academic - Faculty,Archaeology
520,Collaborative Teaching Laboratory,Laboratory,Academic - Faculty,Biosciences
521,XRD / XRF Laboratory - Malcolm Spence,Specialist Area,Academic - Faculty,Camborne School of Mines
522,Resource Centre,Office,Academic - Faculty,Foreign Language Centre
523,IT Comms Room,Other Space,Support,IT Services
524,Store,Storage Space,Support,Print and Copy Services
525,Former Post Room space,Storage Space,Academic - Faculty,School of Education
526,Converted to lab,Laboratory,Academic - Faculty,Sport and Health Sciences
527,CLES Office 6,Office,Academic - Faculty,Biosciences
528,Tensile Tennis Courts,Leisure Facilities,Support,Sports Operations
529,Resource Centre,Meeting Room,Academic - Faculty,Foreign Language Centre
530,Acoustic Store,Storage Space,Academic - Faculty,Physics and Astronomy
531,Meeting Room/Break Out Space,Meeting Room,Academic - Faculty,Psychology
532,Laboratory and store,Storage Space,Academic - Faculty,Biosciences
533,Furniture Store,Storage Space,Academic - Faculty,Drama
534,"4 SQUASH COURTS (1, 2, 3, 4)",Leisure Facilities,Support,Sports Operations
535,Climate Control Room,Specialist Area,Academic - Faculty,Engineering
536,Seminar Store Room,Storage Space,Academic - Faculty,"Sociology, Philosophy and Anthropology"
537,Male Changing Room,Specialist Area,Academic - Faculty,Drama
538,STAFF SHOWER ROOM - decomissioned,Leisure Facilities,Support,Sports Operations
539,Magnetic Material Research Lab,Specialist Area,Academic - Faculty,Physics and Astronomy
540,Seminar Room C,Seminar Room,Support,Library
541,"IT equipment receipt, dispatch and storage",Storage Space,Support,IT Services
542,Exercise Lab 3,Specialist Area,Academic - Faculty,Sport and Health Sciences
543,Class 4 Laser Lab 4,Specialist Area,Academic - Faculty,Physics and Astronomy
544,Write Up Room,Office,Academic - Faculty,Biosciences
545,IT Operating Board Meeting Room,Meeting Room,Support,IT Services
546,Dark Room,Specialist Area,Academic - Faculty,Physics and Astronomy
547,Technicians Office,Office,Academic - Faculty,Camborne School of Mines
548,Office 4 Academic,Office,Academic - Faculty,Drama
549,MAIL ROOM,Library,Support,Library
550,IT Comms,Other Space,Support,IT Services
551,MALE ABLUTIONS - decomissioned,Leisure Facilities,Support,Sports Operations
552,Staff Rest Room,Other Space,Support,Commercial Residential and Campus Services
553,PGR meeting space,Meeting Room,Academic - Faculty,School of Education
554,Electrical Plant,Specialist Area,Academic - Faculty,Engineering
555,Geology Teaching Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
556,VDU Search,Library,Support,Library
557,Cold Room,Office,Academic - Faculty,Biosciences
558,AV Workshop,Office,Support,IT Services
559,Mess Room,Other Space,Support,Grounds Services
560,Ultra Microtome,Specialist Area,Academic - Faculty,Biosciences
561,Male Changing Shower,Leisure Facilities,Support,Sports Operations
562,Quiet Reading Room,Study Space,Academic - Faculty,Institute of Arab and Islamic Studies
563,Meeting Room 2,Meeting Room,Support,IT Services
564,Post Doc Room,Office,Academic - Faculty,Institute of Arab and Islamic Studies
565,Music Store,Storage Space,Academic - Faculty,School of Education
566,MR1 Meeting Room 1,Seminar Room,Academic - Faculty,Drama
567,CLES Write Up 3,Office,Academic - Faculty,Biosciences
568,Freezer Room,Specialist Area,Academic - Faculty,Biosciences
569,Pot Wash,Central Catering,Support,Event Operations
570,Prep Lab,Specialist Area,Academic - Faculty,Biosciences
571,Infusion Preparation,Laboratory,Academic - Faculty,Sport and Health Sciences
572,APPLE TAXIS Rear lobby,Retail Outlets,Support,Commercial Operations
573,GALLERY TO LOWER GYM,Leisure Facilities,Support,Sports Operations
574,1ST FLR 2ND RDG ROOM,Library,Support,Library
575,ROLLING STACK,Library,Support,Library
576,Washing/preparation Lab Lab,Laboratory,Academic - Faculty,Camborne School of Mines
577,IT / Comms,Other Space,Support,IT Services
578,MAIN READING RM,Library,Support,Library
579,Meeting Room,Meeting Room,Academic - Faculty,Engineering
580,Admin Office,Office,Academic - Faculty,Psychology
581,Student Study Area,Study Space [PS],Support,Library
582,ICPMS preparation Lab,Specialist Area,Academic - Faculty,Camborne School of Mines
583,Store,Storage Space,Support,Student Employability and Academic Success
584,Academic Lead - English,Office,Academic - Faculty,English and Creative Writing
585,Wet Lab Office,Office,Academic - Faculty,Engineering
586,Physiology Laboratory,Specialist Area,Academic - Faculty,Sport and Health Sciences
587,Engineering Workshop,Workshops,Academic - Faculty,Engineering
588,Nutrition Lab,Specialist Area,Academic - Faculty,Sport and Health Sciences
589,AV Room,Other Space,Support,IT Services
590,Secondary Office,Office,Support,IT Services
591,EMPS Office 5,Office,Academic - Faculty,Engineering
592,Print Unit Office,Office,Support,Print and Copy Services
593,Biocatalysis Crystalography,Specialist Area,Academic - Faculty,Biosciences
594,Academic Office,Office,Academic - Faculty,Psychology
595,Training Room,Leisure Facilities,Support,Sports Operations
596,APPLE TAXIS Office,Retail Outlets,Support,Commercial Operations
597,Seminar Room,Seminar Room,Academic - Faculty,"Sociology, Philosophy and Anthropology"
598,Staff Office,Office,Support,"Insurance, Audit and Risk"
599,MAINTENANCE OFFICE,Library,Support,Library
600,Dissertation Physiology Lab,Laboratory,Academic - Faculty,Sport and Health Sciences
601,STUDIO WH1,Specialist Area,Academic - Faculty,Drama
602,Silent Study Room,Study Space,Support,Library
603,Tower Meeting Room,Meeting Room,Academic - Faculty,"Sociology, Philosophy and Anthropology"
604,Helium Room,Specialist Area,Academic - Faculty,Physics and Astronomy
605,Post Room,Other Space,Support,Facilities Operations
606,Thornton West Suite,Meeting Room,Support,Event Operations
607,1ST FLR MAIN READING RM,Library,Support,Library
608,Psychology lab,Laboratory,Academic - Faculty,Psychology
609,Fish Food Prep Room,Specialist Area,Academic - Faculty,Biosciences
610,Preparation Lab,Laboratory,Academic - Faculty,Biosciences
611,FEMALE CHANGING ROOM,Leisure Facilities,Support,Sports Operations
612,Academic PI Office,Office,Academic - Faculty,Biosciences
613,Resource area,Other Space,Academic - Faculty,School of Education
614,Nuclear Magnetic Resonance Spectroscopy,Specialist Area,Academic - Faculty,Biosciences
615,CHUMS - PS staff,Office,Academic - Faculty,English and Creative Writing
616,Radiation Room,Specialist Area,Academic - Faculty,Biosciences
617,Walter Daw Room,Meeting Room,Support,Event Operations
618,Workshop / Store Room,Workshops,Academic - Faculty,Engineering
619,Technician,Other Space,Academic - Faculty,School of Education
620,Accessible Office / Visitors,Office,Academic - Faculty,"Sociology, Philosophy and Anthropology"
621,Ronald Duncan Reading Room,Seminar Room,Support,Library
622,Biocatalysis Preparation Room,Specialist Area,Academic - Faculty,Biosciences
623,Boardroom,Seminar Room,Academic - Faculty,Politics
624,Cataloging Department,Library,Support,Library
625,Room 3,Laboratory,Academic - Faculty,Biosciences
626,Research Aquarium,Specialist Area,Academic - Faculty,Biosciences
627,Administration Room,Leisure Facilities,Support,Sports Operations
628,Ded Psych Teaching room,Seminar Room,Academic - Faculty,School of Education
629,Comms Room,Leisure Facilities,Support,Sports Operations
630,Boardroom 3,Seminar Room,Academic - Faculty,Law School
631,ESS team office,Office,Support,Education Services
632,Postgraduate office,Office,Academic - Faculty,Sport and Health Sciences
633,Sports Office,Leisure Facilities,Support,Sports Operations
634,Under Stairs Store,Storage Space,Academic - Faculty,Biosciences
635,CLES Laboratory 2,Laboratory,Academic - Faculty,Biosciences
636,Meeting Room,Leisure Facilities,Support,Sports Operations
637,IT Operating Board Hot Desks,Office,Support,IT Services
638,Office,Office,Support,Facilities Operations
639,PS Staff Office,Office,Academic - Faculty,Biosciences
640,DEXA Laboratory,Specialist Area,Academic - Faculty,Sport and Health Sciences
641,CHANGING AREA - SPORTS FITTINGS,Leisure Facilities,Support,Sports Operations
642,CLES Laboratory 3,Laboratory,Academic - Faculty,Biosciences
643,Store,Storage Space,Academic - Faculty,German (ML)
644,Special Collections,Library,Support,Library
645,Library Level -1 Group Work room 3,Study Space [PS],Support,Library
646,Phone Room/Meeting Room/Break Out Space/Role Play,Meeting Room,Academic - Faculty,Psychology
647,Microscopy 2,Specialist Area,Academic - Faculty,Biosciences
648,HUMS PG Computer room  + new office,Office,Academic - Faculty,English and Creative Writing
649,Amory Study Centre - Quiet Study Space,Study Space [PS],Support,Library
650,Staff Kitchen,Social Space,Academic - Faculty,School of Education
651,UG Computer Room & PG Study,Computer Room,Academic - Faculty,Psychology
652,Quiet Study Space 1,Study Space [PS],Support,Library
653,The Loft - study space,Study Space [PS],Support,Library
654,Office,Office,Support,Built Environment
655,Biomechanics Lab,Specialist Area,Academic - Faculty,Sport and Health Sciences
656,Amory Study Centre,Study Space [PS],Support,Library
657,Office 12,Office,Academic - Faculty,Drama
658,Reception Office,Office,Support,Event Operations
659,MENS CHANGING ROOM,Leisure Facilities,Support,Sports Operations
660,FEMALE TOILET,Leisure Facilities,Support,Sports Operations
661,Bill Douglas Cinema Museum,Other Space,Support,Library
662,Upper Lounge,Meeting Room,Support,Event Operations
663,Post Room,Other Space,Support,Mail Room
664,Corridor,Specialist Area,Academic - Faculty,Biosciences
665,Head of Security / Security Management,Office,Support,Security
666,Electronics Teaching Laboratory,Specialist Area,Academic - Faculty,Engineering
667,20 Person Changing Room,Leisure Facilities,Support,Sports Operations
668,Male Changing Room,Leisure Facilities,Support,Sports Operations
669,Waiting Area,Other Space,Academic - Faculty,Psychology
670,PROJECTION ROOM,Library,Support,Library
671,Performance suite / golf,Office,Support,Sports Operations
672,Estate Patrol Reception,Other Space,Support,Security
673,Double Bed Rest,Laboratory,Academic - Faculty,Sport and Health Sciences
674,Cognition Test Room,Specialist Area,Academic - Faculty,Psychology
675,Office,Office,Support,Student Employability and Academic Success
676,Boardroom 1,Seminar Room,Academic - Faculty,Law School
